@@,itemlabel,item,startdate,enddate
+++,Погос-бей Юсефян,,1826,1844
+++,Артин-бей Шукри,,1844,1850
+++,Эстефан-бей Ресми,,1850,1858
->,Нубар-паша->Нубар Нубарян-паша,Q595285->NULL,1878-08-28->1858,1879-02-23
->,Ali Zulfikar Pasha->Али аль-Факкар-паша,Q96240648->NULL,1879-03-10->1879-03-22,1879-04-07
->,Мухаммад Шариф-паша->Мухаммед Шариф-паша,Q115486->NULL,1879-04-07,1879-07-05->1879-08-18
---,Мухаммад Шариф-паша,Q115486,1879-07-05,1879-08-18
->,Мустафа Фахми-паша,Q403535->NULL,1879-08-18,1879-09-21->1882-06-17
---,Мустафа Фахми-паша,Q403535,1879-09-21,1881-09-10
---,Мустафа Фахми-паша,Q403535,1881-09-14,1882-02-04
---,Мустафа Фахми-паша,Q403535,1882-02-04,1882-05-26
->,Исмаил Рагиб-паша,Q2485397->NULL,1882-06-17,1882-08-21
->,Мухаммад Шариф-паша->Мухаммед Шариф-паша,Q115486->NULL,1882-08-21->1882-08-28,1884-01-10
->,Нубар-паша->Нубар Нубарян-паша,Q595285->NULL,1884-01-10,1888-06-09
->,Ali Zulfikar Pasha->Аль аль-Факкар-паша,Q96240648->NULL,1888-06-09->1888-06-11,1891-05-12
->,Tigrane Pasha->Техран-паша,Q16118357->NULL,1891-05-14,1892-01-17->1894-04-15
---,Tigrane Pasha,Q16118357,1892-01-17,1893-01-15
---,Tigrane Pasha,Q16118357,1893-01-15,1893-01-18
---,Tigrane Pasha,Q16118357,1893-01-19,1894-04-15
---,Бутрос Гали,Q262642,1894-04-15,1895-11-12
+++,Бутрос Гали,Q262642,1894-04-16,1910-02-23
---,Бутрос Гали,Q262642,1895-11-12,1908-11-11
---,Бутрос Гали,Q262642,1908-11-12,1910-02-21
->,Хусейн Рушди-паша,Q1994270->NULL,1910-02-23,1914-04-05->1912-04-15
+++,Юсуф Вахба-паша,,1912-04-15,1914-04-15
---,ʿAdli Yakan,Q358528,1914-04-05,1914-12-19
+++,Адли Якан-паша,,1914-04-15,1912-12-19
->,ʿAbd al-Khaliq Tharwat->Абдель Халек Сарват-паша,Q4116115->NULL,1922-03-01,1922-11-29->1922-01-29
->,Mahmoud Fakhri Pasha->Махмуд Фахри-паша,Q1268838->NULL,1922-11-30,1923-02-09
---,Wasif Boutros Ghali,Q12250674,1923-01-28,1924-11-24
->,Ahmed Hishmat Pasha->Ахмед Эсмат-паша,Q12208269->NULL,1923-03-15,1923-08-06
---,Ahmed Hishmat Pasha,Q12208269,1923-03-15,1924-01-01
