item,itemLabel,startDate,endDate,psid
Q101096238,Kamel Ibrahim Bey,1934-11-15,1935-02-18,Q101096238-9C5457EE-A8CD-434B-9C76-B212131B1816
Q101096244,Q101096244,1935-02-18,1936-01-30,Q101096244-5FC8E597-0C16-43DD-88E8-410C1C55553E
Q101096317,Mohammed Salaheldine,1950-01-12,1952-01-27,Q101096317-1EA6C806-4959-4C08-8C8B-90EAAD847E00
Q108407658,Muhammad Salah al-Din Bey,1950-01-01,1952-01-01,Q108407658-94325C1A-A12E-4848-A5C9-EA83EAD5AA5B
Q108407659,Ahmed Mohamed Farrag Tayeh,1952-01-01,1952-01-01,Q108407659-4C561808-356F-492C-988A-2D18BE1F7B55
Q115486,Мухаммад Шариф-паша,1879-07-05,1879-08-18,Q115486-38285601-223F-4517-913A-882DF4BD4297
Q115486,Мухаммад Шариф-паша,1879-04-07,1879-07-05,Q115486-48803590-16A7-4433-8F12-881F6F1920EF
Q115486,Мухаммад Шариф-паша,1882-08-21,1884-01-10,Q115486-A2DC8A48-58E6-47DC-8DF4-23E6355D8DF1
Q12181766,Ibrahim Desouki Abaza Pasha,1948-12-28,1949-02-27,Q12181766-6A36A94C-F8BE-4A5C-BC08-00D65A7D5A80
Q12208269,Ahmed Hishmat Pasha,1923-03-15,1924-01-01,Q12208269-43aeb05c-8a4d-47d0-b7b2-4f9c0801aec4
Q12208269,Ahmed Hishmat Pasha,1923-03-15,1923-08-06,Q12208269-F896FE51-4512-41E3-B348-4A0EE2A75D7F
Q12220241,Ṣalīb Sāmī,1941-06-26,1941-07-31,Q12220241-026B4FEC-1B08-4F61-85C5-8EE51CAA71B5
Q12220241,Ṣalīb Sāmī,1941-07-31,1942-02-04,Q12220241-4F6AAF7C-1F52-4D09-B644-CA1A5F207258
Q12220241,Ṣalīb Sāmī,1933-07-01,1933-09-27,Q12220241-C62A7672-0CD1-46E3-8495-73DBF146A124
Q12240321,Mohamed Tewfik Rifaat Pasha,1923-08-06,1924-01-27,Q12240321-BFDC22B8-C355-4098-BE82-B1FB245F6AB4
Q12250674,Wasif Boutros Ghali,1928-03-16,1928-06-25,Q12250674-296AFF3B-60FE-40A0-8A6B-28F0C1A1D088
Q12250674,Wasif Boutros Ghali,1936-05-09,1937-08-01,Q12250674-2EDC5658-D3A2-403C-8EA7-A087AEDF1665
Q12250674,Wasif Boutros Ghali,1930-01-01,1930-06-19,Q12250674-329079ad-46df-263f-3b88-be25594d5411
Q12250674,Wasif Boutros Ghali,1936-05-09,1937-12-30,Q12250674-6be2d96c-4dde-2ed1-5618-aa702dfb659b
Q12250674,Wasif Boutros Ghali,1928-03-16,1928-06-25,Q12250674-7b54dc1f-4995-883b-1fd6-8b9bee207e52
Q12250674,Wasif Boutros Ghali,1924-01-28,1924-11-24,Q12250674-9C0A4F3A-CA8B-42FE-91CF-49DFE7F0AC9D
Q12250674,Wasif Boutros Ghali,1937-08-01,1937-12-30,Q12250674-A5054FE1-0C4A-4528-8D4C-4A91FB83F915
Q12250674,Wasif Boutros Ghali,1923-01-28,1924-11-24,Q12250674-EEF3003C-11DC-4CCA-B7A2-93B0B534ECA7
Q12250674,Wasif Boutros Ghali,1930-01-01,1930-06-19,Q12250674-F7C42793-63B2-42D2-8686-F13329A7CDDB
Q1257,Бутрос Бутрос-Гали,1978-09-17,1979-02-17,Q1257-86C83A5D-1A8E-4011-8416-75B663DA6B4C
